/////////////////
///LOCKE ITEMS///
/////////////////

//ID|TYPE|ITEM ID TO BUY|COUNT|1 if available from lock-bot, 0 if not

204|LOCKE|202|5|1
206|LOCKE|204|3|1
242|LOCKE|206|5|1
5262|LOCKE|206|2|1

2478|LOCKE|242|1|0
2724|LOCKE|242|1|0
5258|LOCKE|242|10|1
3684|LOCKE|242|10|1
2480|LOCKE|242|25|1
2992|LOCKE|242|20|0
3560|LOCKE|242|20|1
3798|LOCKE|242|25|0
3314|LOCKE|242|30|0
5202|LOCKE|242|30|0
3188|LOCKE|242|40|0
2476|LOCKE|242|50|0
2720|LOCKE|242|100|0
2452|LOCKE|242|100|0
1486|LOCKE|242|100|1
2702|LOCKE|242|300|0
2722|LOCKE|242|500|0
4972|LOCKE|242|500|0
4970|LOCKE|242|500|0
5264|LOCKE|242|500|1
4948|LOCKE|242|1000|0
3040|LOCKE|242|1000|0
5260|LOCKE|242|1000|1
3686|LOCKE|242|1500|0
2450|LOCKE|242|10000|0

